nh,chn_start,chn_end,length,structure,roughness_limit,rut_limit,crack_limit,ravelling_limit,roughness,rut_depth,crack_area,area,start_lat,start_long,frame,timestamp
NH148N,280700,280800,100,,2400,5,5,1,2132.0,3.2,0.005,0.019,26.06117,76.25789,2100,420000
NH148N,280600,280700,100,Culvert,2400,5,5,1,1980.0,2.1,0.001,0.0,26.06206,76.25778,2120,424000
NH148N,280500,280600,100,,2400,5,5,1,1539.0,3.0,0.002,0.01,26.06296,76.25766,2140,428000
NH148N,280400,280500,100,,2400,5,5,1,2383.0,3.1,0.007,0.0,26.06385,76.25755,2160,432000
NH148N,280300,280400,100,SVUP,2400,5,5,1,1980.0,3.4,0.002,0.031,26.06475,76.25743,2180,436000
NH148N,280200,280300,100,,2400,5,5,1,2237.0,3.0,0.003,0.0,26.06565,76.25732,2200,440000
NH148N,280100,280200,100,,2400,5,5,1,1362.0,3.2,0.002,0.0,26.06654,76.25721,2220,444000
NH148N,280000,280100,100,Culvert,2400,5,5,1,1601.0,3.2,0.002,0.015,26.06744,76.25709,2240,448000
NH148N,279900,280000,100,,2400,5,5,1,2044.0,3.5,0.002,0.0,26.06833,76.25698,2260,452000
NH148N,279800,279900,100,,2400,5,5,1,2172.0,3.1,0.006,0.0,26.06923,76.25686,2280,456000
NH148N,279700,279800,100,,2400,5,5,1,1578.0,3.0,0.008,0.006,26.07013,76.25675,2300,460000
NH148N,279600,279700,100,,2400,5,5,1,1821.0,3.1,0.006,0.0,26.07102,76.25663,2320,464000
NH148N,279500,279600,100,LVUP,2400,5,5,1,1924.0,3.0,0.002,0.0,26.07192,76.25651,2340,468000
NH148N,279400,279500,100,,2400,5,5,1,2036.0,3.8,0.001,0.0,26.07282,76.2564,2360,472000
NH148N,279300,279400,100,,2400,5,5,1,1750.0,3.2,0.004,0.0,26.07371,76.25628,2380,476000
NH148N,279200,279300,100,Culvert,2400,5,5,1,2221.0,3.1,0.003,0.0,26.07461,76.25617,2400,480000
NH148N,279100,279200,100,,2400,5,5,1,2448.0,3.4,0.004,0.046,26.07551,76.25605,2420,484000
NH148N,279000,279100,100,,2400,5,5,1,2391.0,3.0,0.007,0.0,26.0764,76.25594,2440,488000
NH148N,278900,279000,100,SVUP,2400,5,5,1,2164.0,3.0,0.002,0.0,26.0773,76.25582,2460,492000
NH148N,278800,278900,100,,2400,5,5,1,1980.0,3.5,0.002,0.0,26.0782,76.25571,2480,496000
NH148N,278700,278800,100,,2400,5,5,1,2060.0,3.3,0.002,0.0,26.07909,76.25559,2500,500000
NH148N,278600,278700,100,,2400,5,5,1,1750.0,3.8,0.005,0.006,26.07999,76.25548,2520,504000
NH148N,278500,278600,100,Culvert,2400,5,5,1,1916.0,3.5,0.003,0.0,26.08089,76.25537,2540,508000
NH148N,278400,278500,100,,2400,5,5,1,1758.0,3.1,0.0,0.0,26.08179,76.25525,2560,512000
NH148N,278300,278400,100,Culvert,2400,5,5,1,2261.0,3.0,0.005,0.024,26.08268,76.25513,2580,516000
NH148N,278200,278300,100,,2400,5,5,1,2432.0,2.6,0.004,0.0,26.08358,76.25502,2600,520000
NH148N,278100,278200,100,,2400,5,5,1,1805.0,2.9,0.002,0.0,26.08448,76.2549,2620,524000
NH148N,278000,278100,100,,2400,5,5,1,1932.0,3.1,0.002,0.009,26.08537,76.25479,2640,528000
NH148N,277900,278000,100,Culvert,2400,5,5,1,2124.0,3.2,0.001,0.0,26.08627,76.25467,2660,532000
NH148N,277800,277900,100,,2400,5,5,1,1853.0,3.6,0.001,0.0,26.08717,76.25456,2680,536000
NH148N,277700,277800,100,SVUP,2400,5,5,1,1821.0,2.3,0.004,0.004,26.08806,76.25444,2700,540000
NH148N,277600,277700,100,,2400,5,5,1,1940.0,3.0,0.001,0.0,26.08896,76.25433,2720,544000
NH148N,277500,277600,100,,2400,5,5,1,1869.0,3.1,0.001,0.0,26.08985,76.25421,2740,548000
NH148N,277400,277500,100,,2400,5,5,1,2020.0,2.0,0.004,0.005,26.09075,76.25409,2760,552000
NH148N,277300,277400,100,SVUP,2400,5,5,1,1633.0,2.2,0.004,0.0,26.09164,76.25398,2780,556000
NH148N,277200,277300,100,Minor Bridge,2400,5,5,1,2197.0,2.6,0.0,0.011,26.09254,76.25387,2800,560000
NH148N,277100,277200,100,,2400,5,5,1,2148.0,2.6,0.003,0.036,26.09344,76.25375,2820,564000
NH148N,277000,277100,100,,2400,5,5,1,1892.0,3.5,0.001,0.0,26.09433,76.25364,2840,568000
NH148N,276900,277000,100,,2400,5,5,1,1555.0,3.5,0.002,0.0,26.09523,76.25352,2860,572000
NH148N,276800,276900,100,Culvert,2400,5,5,1,1531.0,3.3,0.003,0.0,26.09613,76.25341,2880,576000
NH148N,276700,276800,100,,2400,5,5,1,1609.0,3.3,0.002,0.0,26.09702,76.25329,2900,580000
NH148N,276600,276700,100,,2400,5,5,1,1695.0,3.0,0.003,0.0,26.09792,76.25318,2920,584000
NH148N,276500,276600,100,,2400,5,5,1,1837.0,3.9,0.002,0.0,26.09881,76.25306,2940,588000
NH148N,276400,276500,100,Culvert,2400,5,5,1,1209.0,3.6,0.001,0.0,26.09971,76.25295,2960,592000
NH148N,276300,276400,100,,2400,5,5,1,1750.0,3.2,0.002,0.0,26.1006,76.25283,2980,596000
NH148N,276200,276300,100,SVUP,2400,5,5,1,2084.0,4.1,0.002,0.0,26.1015,76.25272,3000,600000
NH148N,276100,276200,100,,2400,5,5,1,1742.0,4.8,0.001,0.0,26.10239,76.2526,3020,604000
NH148N,276000,276100,100,,2400,5,5,1,1369.0,5.1,0.003,0.0,26.10329,76.25249,3040,608000
NH148N,275900,276000,100,,2400,5,5,1,1438.0,3.7,0.003,0.0,26.10419,76.25237,3060,612000
NH148N,275800,275900,100,,2400,5,5,1,1924.0,3.2,0.002,0.057,26.10508,76.25226,3080,616000
NH148N,275700,275800,100,,2400,5,5,1,2132.0,3.4,0.003,0.18,26.10598,76.25214,3100,620000
NH148N,275600,275700,100,,2400,5,5,1,1679.0,3.7,0.001,0.255,26.10687,76.25203,3120,624000
NH148N,275500,275600,100,,2400,5,5,1,1829.0,3.5,0.001,0.257,26.10776,76.25191,3140,628000
NH148N,275400,275500,100,,2400,5,5,1,1438.0,3.2,0.0,0.021,26.10866,76.2518,3160,632000
NH148N,275300,275400,100,VUP,2400,5,5,1,2076.0,3.7,0.002,0.141,26.10956,76.25168,3180,636000
NH148N,275200,275300,100,,2400,5,5,1,1988.0,3.1,0.001,0.059,26.11045,76.25157,3200,640000
NH148N,275100,275200,100,,2400,5,5,1,1861.0,3.1,0.0,0.0,26.11135,76.25145,3220,644000
NH148N,275000,275100,100,,2400,5,5,1,1224.0,3.1,0.0,0.0,26.11224,76.25134,3240,648000
NH148N,274900,275000,100,,2400,5,5,1,1392.0,3.3,0.0,0.0,26.11314,76.25122,3260,652000
NH148N,274800,274900,100,,2400,5,5,1,1570.0,3.1,0.0,0.0,26.11404,76.25111,3280,656000
NH148N,274700,274800,100,,2400,5,5,1,1640.0,3.2,0.002,0.018,26.11493,76.25099,3300,660000
NH148N,274600,274700,100,,2400,5,5,1,1980.0,3.2,0.005,0.0,26.11583,76.25088,3320,664000
NH148N,274500,274600,100,,2400,5,5,1,1462.0,3.1,0.011,0.0,26.11672,76.25076,3340,668000
NH148N,274400,274500,100,Culvert,2400,5,5,1,1339.0,3.1,0.001,0.006,26.11762,76.25065,3360,672000
NH148N,274300,274400,100,,2400,5,5,1,1837.0,4.5,0.0,0.0,26.11852,76.25053,3380,676000
NH148N,274200,274300,100,,2400,5,5,1,1594.0,4.8,0.0,0.0,26.11941,76.25042,3400,680000
NH148N,274100,274200,100,Subway,2400,5,5,1,1805.0,3.9,0.0,0.0,26.12031,76.2503,3420,684000
NH148N,274000,274100,100,,2400,5,5,1,1853.0,4.5,0.001,0.0,26.1212,76.25019,3440,688000
NH148N,273900,274000,100,,2400,5,5,1,1362.0,4.6,0.0,0.0,26.1221,76.25007,3460,692000
NH148N,273800,273900,100,Culvert,2400,5,5,1,2044.0,4.8,0.0,0.029,26.123,76.24995,3480,696000
NH148N,273700,273800,100,,2400,5,5,1,1385.0,4.6,0.0,0.0,26.12389,76.24984,3500,700000
NH148N,273600,273700,100,SVUP,2400,5,5,1,1996.0,2.9,0.0,0.003,26.12479,76.24972,3520,704000
NH148N,273500,273600,100,,2400,5,5,1,2004.0,3.8,0.003,0.058,26.12568,76.24961,3540,708000
NH148N,273400,273500,100,,2400,5,5,1,1485.0,4.8,0.005,0.0,26.12658,76.24949,3560,712000
NH148N,273300,273400,100,,2400,5,5,1,1877.0,3.8,0.0,0.0,26.12748,76.24938,3580,716000
NH148N,273200,273300,100,,2400,5,5,1,2044.0,3.9,0.0,0.0,26.12837,76.24926,3600,720000
NH148N,273100,273200,100,,2400,5,5,1,1508.0,4.0,0.0,0.539,26.12927,76.24915,3620,724000
NH148N,273000,273100,100,,2400,5,5,1,1578.0,4.1,0.0,0.008,26.13016,76.24903,3640,728000
NH148N,272900,273000,100,,2400,5,5,1,1423.0,4.2,0.0,0.007,26.13106,76.24892,3660,732000
NH148N,272800,272900,100,,2400,5,5,1,2116.0,3.7,0.001,0.034,26.13195,76.24881,3680,736000
NH148N,272700,272800,100,,2400,5,5,1,1869.0,4.4,0.002,0.097,26.13285,76.24869,3700,740000
NH148N,272600,272700,100,LVUP,2400,5,5,1,1578.0,4.3,0.001,0.0,26.13375,76.24858,3720,744000
NH148N,272500,272600,100,Culvert,2400,5,5,1,1853.0,3.2,0.001,0.0,26.13464,76.24846,3740,748000
NH148N,272400,272500,100,,2400,5,5,1,1829.0,3.5,0.0,0.0,26.13554,76.24835,3760,752000
NH148N,272300,272400,100,,2400,5,5,1,1187.0,4.3,0.0,0.007,26.13643,76.24823,3780,756000
NH148N,272200,272300,100,Culvert,2400,5,5,1,1462.0,3.9,0.001,0.027,26.13733,76.24811,3800,760000
NH148N,272100,272200,100,,2400,5,5,1,1385.0,3.3,0.0,0.0,26.13823,76.248,3820,764000
NH148N,272000,272100,100,SVUP,2400,5,5,1,1415.0,4.5,0.0,0.0,26.13913,76.24789,3840,768000
NH148N,271900,272000,100,,2400,5,5,1,2012.0,2.9,0.001,0.007,26.14003,76.24777,3860,772000
NH148N,271800,271900,100,,2400,5,5,1,1853.0,3.1,0.0,0.034,26.14092,76.24766,3880,776000
NH148N,271700,271800,100,,2400,5,5,1,1485.0,3.1,0.0,0.0,26.14182,76.24754,3900,780000
NH148N,271600,271700,100,Culvert,2400,5,5,1,1695.0,3.1,0.0,0.007,26.14271,76.24742,3920,784000
NH148N,271500,271600,100,,2400,5,5,1,1179.0,3.0,0.001,0.0,26.14361,76.24731,3940,788000
NH148N,271400,271500,100,,2400,5,5,1,1232.0,3.5,0.0,0.007,26.1445,76.2472,3960,792000
NH148N,271300,271400,100,,2400,5,5,1,1742.0,3.0,0.0,0.0,26.1454,76.24708,3980,796000
NH148N,271200,271300,100,LVUP,2400,5,5,1,2221.0,3.1,0.001,0.0,26.1463,76.24696,4000,800000
NH148N,271100,271200,100,,2400,5,5,1,1797.0,3.2,0.001,0.007,26.14719,76.24685,4020,804000
NH148N,271000,271100,100,,2400,5,5,1,1500.0,3.1,0.0,0.013,26.14809,76.24673,4040,808000
NH148N,270900,271000,100,,2400,5,5,1,1369.0,3.0,0.0,0.0,26.14898,76.24662,4060,812000
NH148N,270800,270900,100,Culvert,2400,5,5,1,2213.0,3.4,0.0,0.0,26.14988,76.2465,4080,816000
NH148N,270700,270800,100,,2400,5,5,1,1837.0,3.7,0.0,0.0,26.15078,76.24639,4100,820000
NH148N,270600,270700,100,Culvert,2400,5,5,1,1766.0,3.4,0.0,0.015,26.15167,76.24627,4120,824000
NH148N,270500,270600,100,,2400,5,5,1,1555.0,3.0,0.0,0.014,26.15257,76.24616,4140,828000
NH148N,270400,270500,100,Culvert,2400,5,5,1,1805.0,3.1,0.0,0.0,26.15347,76.24604,4160,832000
NH148N,270300,270400,100,,2400,5,5,1,1727.0,3.6,0.0,0.0,26.15436,76.24593,4180,836000
NH148N,270200,270300,100,,2400,5,5,1,1813.0,3.2,0.0,0.0,26.15526,76.24581,4200,840000
NH148N,270100,270200,100,,2400,5,5,1,1742.0,3.2,0.0,0.0,26.15615,76.2457,4220,844000
NH148N,270000,270100,100,SVUP,2400,5,5,1,2092.0,3.5,0.0,0.027,26.15705,76.24558,4240,848000
NH148N,269900,270000,100,,2400,5,5,1,1932.0,3.2,0.0,0.0,26.15794,76.24547,4260,852000
NH148N,269800,269900,100,,2400,5,5,1,1408.0,3.3,0.0,0.054,26.15884,76.24535,4280,856000
NH148N,269700,269800,100,,2400,5,5,1,1377.0,3.4,0.002,0.012,26.15973,76.24524,4300,860000
NH148N,269600,269700,100,,2400,5,5,1,1555.0,3.0,0.0,0.017,26.16063,76.24512,4320,864000
NH148N,269500,269600,100,Culvert,2400,5,5,1,1493.0,3.5,0.0,0.007,26.16153,76.245,4340,868000
NH148N,269400,269500,100,,2400,5,5,1,1609.0,3.1,0.0,0.005,26.16242,76.24489,4360,872000
NH148N,269300,269400,100,,2400,5,5,1,1617.0,3.3,0.001,0.0,26.16332,76.24477,4380,876000
NH148N,269200,269300,100,Culvert,2400,5,5,1,2036.0,3.3,0.001,0.011,26.16421,76.24466,4400,880000
NH148N,269100,269200,100,,2400,5,5,1,2060.0,3.1,0.001,0.0,26.16511,76.24454,4420,884000
NH148N,269000,269100,100,,2400,5,5,1,1695.0,3.3,0.001,0.0,26.16601,76.24443,4440,888000
NH148N,268900,269000,100,,2400,5,5,1,1719.0,4.9,0.004,0.0,26.1669,76.24432,4460,892000
NH148N,268800,268900,100,Culvert,2400,5,5,1,1948.0,4.0,0.0,0.0,26.1678,76.2442,4480,896000
NH148N,268700,268800,100,,2400,5,5,1,1617.0,3.5,0.001,0.0,26.16869,76.24408,4500,900000
NH148N,268600,268700,100,,2400,5,5,1,1493.0,3.1,0.001,0.007,26.16959,76.24397,4520,904000
NH148N,268500,268600,100,,2400,5,5,1,1972.0,3.2,0.005,0.0,26.17048,76.24386,4540,908000
NH148N,268400,268500,100,SVUP,2400,5,5,1,2044.0,3.5,0.005,0.004,26.17138,76.24374,4560,912000
NH148N,268300,268400,100,,2400,5,5,1,1869.0,3.3,0.004,0.005,26.17227,76.24362,4580,916000
NH148N,268200,268300,100,,2400,5,5,1,2084.0,3.2,0.005,0.0,26.17317,76.24351,4600,920000
NH148N,268100,268200,100,Culvert,2400,5,5,1,1672.0,3.3,0.003,0.0,26.17407,76.2434,4620,924000
NH148N,268000,268100,100,,2400,5,5,1,2004.0,3.1,0.002,0.0,26.17496,76.24328,4640,928000
NH148N,267900,268000,100,Culvert,2400,5,5,1,1539.0,3.5,0.004,0.0,26.17586,76.24316,4660,932000
NH148N,267800,267900,100,,2400,5,5,1,2189.0,3.3,0.001,0.011,26.17676,76.24305,4680,936000
NH148N,267700,267800,100,,2400,5,5,1,2068.0,3.4,0.0,0.007,26.17765,76.24293,4700,940000
